[16:03:19.865] University Course Registration System – Starting
[16:03:19.865] Students: 60 | Courses: 8
[16:03:19.865] Spawning 60 student threads…
[16:03:19.875] S1052 | CS104-Operating Systems        | Priority: HIGH | REGISTERED
[16:03:19.881] S1039 | CS107-Software Engineering     | Priority: LOW  | FAILED – No Seats
[16:03:19.881] S1039 | CS106-Database Systems         | Priority: LOW  | FAILED – No Seats
[16:03:19.881] S1039 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.881] S1048 | CS102-Data Structures          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1054 | CS103-Algorithms               | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1054 | CS106-Database Systems         | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1054 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1060 | CS106-Database Systems         | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1051 | CS103-Algorithms               | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1051 | CS108-AI Fundamentals          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1051 | CS102-Data Structures          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1042 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1042 | CS103-Algorithms               | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1042 | CS107-Software Engineering     | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1047 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1045 | CS101-Intro to CS              | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1045 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1050 | CS107-Software Engineering     | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1050 | CS108-AI Fundamentals          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1050 | CS106-Database Systems         | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1056 | CS103-Algorithms               | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1056 | CS105-Computer Networks        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1056 | CS101-Intro to CS              | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1057 | CS108-AI Fundamentals          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1057 | CS101-Intro to CS              | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1057 | CS107-Software Engineering     | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1059 | CS103-Algorithms               | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1059 | CS108-AI Fundamentals          | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1032 | CS105-Computer Networks        | Priority: LOW  | FAILED – No Seats
[16:03:19.882] S1032 | CS104-Operating Systems        | Priority: LOW  | FAILED – No Seats
[16:03:19.883] All threads terminated cleanly.
[16:03:19.883] =====================================================================
[16:03:19.883] FINAL COURSE SEAT ALLOCATION
[16:03:19.883] =====================================================================
[16:03:19.883] ID     Course                              Total Enrolled Remaining
[16:03:19.883] ------ -------------------------------- -------- -------- --------
[16:03:19.883] CS101  CS101-Intro to CS                       5        5        0
[16:03:19.883] CS102  CS102-Data Structures                   4        4        0
[16:03:19.883] CS103  CS103-Algorithms                        6        6        0
[16:03:19.883] CS104  CS104-Operating Systems                 3        3        0
[16:03:19.883] CS105  CS105-Computer Networks                 5        5        0
[16:03:19.883] CS106  CS106-Database Systems                  4        4        0
[16:03:19.883] CS107  CS107-Software Engineering              7        7        0
[16:03:19.883] CS108  CS108-AI Fundamentals                   3        3        0
[16:03:19.883] =====================================================================
[16:03:19.883] SUMMARY STATISTICS
[16:03:19.883] =====================================================================
[16:03:19.883] Total Students       : 60
[16:03:19.883] Total Requests       : (varies, 1-3 per student)
[16:03:19.883] Successful Registers : 37
[16:03:19.883] Failed Registers     : 95
[16:03:19.883] =====================================================================
